	0
399	ENSG00000269896
400	ENSG00000278730
401	ENSG00000161270
402	ENSG00000279519
403	ENSG00000037897
404	ENSG00000134757
405	ENSG00000101974
406	ENSG00000197093
407	ENSG00000041880
408	ENSG00000112144
409	ENSG00000177963
410	ENSG00000231131
411	ENSG00000146839
412	ENSG00000118971
413	ENSG00000143569
414	ENSG00000189423
415	ENSG00000177710
416	ENSG00000204161
417	ENSG00000254765
418	ENSG00000284395
419	ENSG00000103091
420	ENSG00000198814
421	ENSG00000270571
422	ENSG00000169031
423	ENSG00000197302
424	ENSG00000240602
425	ENSG00000148297
426	ENSG00000171815
427	ENSG00000262560
428	ENSG00000165490
429	ENSG00000130226
430	ENSG00000229766
431	ENSG00000279162
432	ENSG00000273724
433	ENSG00000165972
434	ENSG00000176142
435	ENSG00000126746
436	ENSG00000173261
437	ENSG00000230910
438	ENSG00000149927
439	ENSG00000205940
440	ENSG00000189058
441	ENSG00000113716
442	ENSG00000137693
443	ENSG00000285825
444	ENSG00000196550
445	ENSG00000167306
446	ENSG00000224877
447	ENSG00000137502
448	ENSG00000197779
449	ENSG00000180934
450	ENSG00000114745
451	ENSG00000003400
452	ENSG00000121966
453	ENSG00000237943
454	ENSG00000249884
455	ENSG00000063177
456	ENSG00000236519
457	ENSG00000279584
458	ENSG00000180747
459	ENSG00000135801
460	ENSG00000131778
461	ENSG00000105501
462	ENSG00000185986
463	ENSG00000277159
464	ENSG00000282876
465	ENSG00000228238
466	ENSG00000104728
467	ENSG00000254469
468	ENSG00000255833
469	ENSG00000198889
470	ENSG00000143816
471	ENSG00000176635
472	ENSG00000280202
473	ENSG00000102225
474	ENSG00000137275
475	ENSG00000274904
476	ENSG00000284308
477	ENSG00000260581
478	ENSG00000196227
479	ENSG00000239264
480	ENSG00000008277
481	ENSG00000023697
482	ENSG00000032742
483	ENSG00000268649
484	ENSG00000175203
485	ENSG00000096433
486	ENSG00000134830
487	ENSG00000038295
488	ENSG00000269982
489	ENSG00000130749
490	ENSG00000206990
491	ENSG00000276168
492	ENSG00000164047
493	ENSG00000179148
494	ENSG00000270987
495	ENSG00000182158
496	ENSG00000255458
497	ENSG00000254802
498	ENSG00000091317
499	ENSG00000214389
500	ENSG00000260799
501	ENSG00000198900
502	ENSG00000177595
503	ENSG00000109452
504	ENSG00000159256
505	ENSG00000214018
506	ENSG00000136244
507	ENSG00000181001
508	ENSG00000013293
509	ENSG00000165688
510	ENSG00000120053
511	ENSG00000266801
512	ENSG00000053918
513	ENSG00000180228
514	ENSG00000263551
515	ENSG00000233355
516	ENSG00000124159
517	ENSG00000272966
518	ENSG00000115392
519	ENSG00000269086
520	ENSG00000278153
521	ENSG00000256690
522	ENSG00000227232
523	ENSG00000172250
524	ENSG00000270083
525	ENSG00000177173
526	ENSG00000231752
527	ENSG00000004838
528	ENSG00000197561
529	ENSG00000166337
530	ENSG00000133863
531	ENSG00000226982
532	ENSG00000237624
533	ENSG00000141376
534	ENSG00000279490
535	ENSG00000105784
536	ENSG00000174326
537	ENSG00000212588
538	ENSG00000258636
